Row Labels,Sum of Win,Sum of Score
butterflies.txt,73,2288
damorin.Agent,25,834
tracks.singlePlayer.advanced.sampleMCTS.Agent,25,638
tracks.singlePlayer.advanced.sampleRHEA.Agent,23,816
decepticoins.txt,75,150
damorin.Agent,25,50
tracks.singlePlayer.advanced.sampleMCTS.Agent,25,50
tracks.singlePlayer.advanced.sampleRHEA.Agent,25,50
deceptizelda.txt,62,155
damorin.Agent,23,48
tracks.singlePlayer.advanced.sampleMCTS.Agent,18,46
tracks.singlePlayer.advanced.sampleRHEA.Agent,21,61
flower.txt,75,3495
damorin.Agent,25,1275
tracks.singlePlayer.advanced.sampleMCTS.Agent,25,1230
tracks.singlePlayer.advanced.sampleRHEA.Agent,25,990
invest.txt,49,192
tracks.singlePlayer.advanced.sampleMCTS.Agent,25,80
tracks.singlePlayer.advanced.sampleRHEA.Agent,24,112
sistersavior.txt,0,294
tracks.singlePlayer.advanced.sampleMCTS.Agent,0,144
tracks.singlePlayer.advanced.sampleRHEA.Agent,0,150
waferthinmints.txt,0,525
tracks.singlePlayer.advanced.sampleMCTS.Agent,0,256
tracks.singlePlayer.advanced.sampleRHEA.Agent,0,269
Grand Total,334,7099
